action,category,answer
yesno,,0
yesno,,0
yesno,,1
yesno,,0
yesno,,1
yesno,,0
yesno,,1
yesno,,0
yesno,,0
yesno,,0
yesno,,0
yesno,,1
yesno,,1
yesno,,1
yesno,,1
yesno,,1
yesno,,0
yesno,,0
yesno,,0
yesno,,1
yesno,,0
yesno,,0
yesno,,1
yesno,,0
yesno,,1
yesno,,0
yesno,,0
yesno,,1
yesno,,0
yesno,,0
yesno,,1
yesno,,0
yesno,,1
yesno,,0
yesno,,0
yesno,,0
yesno,,0
yesno,,0
yesno,,1
yesno,,0
yesno,,1
yesno,,0
yesno,,1
yesno,,0
yesno,,0
yesno,,1
yesno,,0
yesno,,0
yesno,,1
yesno,,0
yesno,,1
yesno,,0
yesno,,1
yesno,,1
yesno,,0
yesno,,1
yesno,,0
yesno,,0
yesno,,1
yesno,,1
subjective,aggression,4
subjective,aggression,2
subjective,aggression,5
subjective,anxiety,3
subjective,relationship,7
subjective,anxiety,5
subjective,aggression,4
subjective,anxiety,5
subjective,relationship,6
subjective,relationship,2
subjective,depression,5
subjective,depression,5
subjective,anxiety,4
subjective,relationship,4
subjective,aggression,5
subjective,aggression,5
subjective,depression,6
subjective,anxiety,3
subjective,relationship,3
subjective,depression,2
subjective,aggression,2
subjective,depression,1
subjective,anxiety,6
subjective,aggression,2
subjective,anxiety,5
subjective,depression,1
subjective,depression,4
subjective,relationship,4
subjective,relationship,2
subjective,depression,2
subjective,anxiety,3
subjective,relationship,7
subjective,depression,7
subjective,aggression,1
subjective,anxiety,7
subjective,anxiety,5
subjective,relationship,4
subjective,depression,2
subjective,relationship,2
subjective,aggression,6
