action,category,answer
yesno,ry,r
yesno,ly,r
yesno,ly,r
yesno,ly,l
yesno,ly,r
yesno,ry,l
yesno,ry,l
yesno,ly,r
yesno,ry,l
yesno,ry,l
yesno,ry,r
yesno,ly,r
yesno,ry,l
yesno,ry,r
yesno,ly,r
yesno,ry,r
yesno,ry,l
yesno,ly,r
yesno,ly,r
yesno,ly,r
yesno,ry,r
yesno,ly,r
yesno,ly,r
yesno,ly,r
yesno,ly,r
yesno,ly,r
yesno,ly,l
yesno,ry,l
yesno,ry,r
yesno,ly,r
yesno,ly,l
yesno,ry,l
yesno,ry,l
yesno,ry,r
yesno,ly,l
yesno,ly,l
yesno,ly,r
yesno,ly,r
yesno,ry,l
yesno,ly,r
yesno,ry,l
yesno,ly,l
yesno,ry,r
yesno,ly,l
yesno,ry,l
yesno,ly,l
yesno,ly,l
yesno,ry,l
yesno,ly,l
yesno,ry,r
yesno,ly,l
yesno,ly,l
yesno,ly,l
yesno,ry,l
yesno,ry,l
yesno,ry,l
yesno,ry,r
yesno,ly,l
yesno,ly,r
yesno,ly,l
subjective,4-anxiety,5
subjective,1-depression,5
subjective,2-aggression,4
subjective,4-anxiety,3
subjective,2-aggression,7
subjective,1-depression,7
subjective,2-aggression,4
subjective,3-relationship,5
subjective,3-relationship,3
subjective,4-anxiety,3
subjective,3-relationship,7
subjective,1-depression,7
subjective,3-relationship,1
subjective,2-aggression,1
subjective,4-anxiety,1
subjective,1-depression,3
subjective,4-anxiety,1
subjective,2-aggression,4
subjective,2-aggression,3
subjective,2-aggression,2
subjective,1-depression,4
subjective,3-relationship,1
subjective,1-depression,6
subjective,3-relationship,5
subjective,4-anxiety,2
subjective,1-depression,7
subjective,4-anxiety,5
subjective,3-relationship,3
subjective,2-aggression,3
subjective,3-relationship,4
subjective,2-aggression,6
subjective,3-relationship,7
subjective,1-depression,2
subjective,1-depression,1
subjective,4-anxiety,2
subjective,1-depression,6
subjective,3-relationship,1
subjective,4-anxiety,2
subjective,2-aggression,1
subjective,4-anxiety,6
